accen@accenture.com ecanri
amazo@amazon.com asstre
apple@apple.com eelect
bainc@bainco.com thentw
banko@bankofamer.com icatio
barcl@barclaysca.com naccus
boein@boeing.com rigina
boozc@boozco.com onofth
booza@boozallenh.com ownuse
bosto@bostoncons.com llship
broad@broadwayte.com iveart
capge@capgemini.com fnatur
capit@capitaliq.com dscies
centr@centralint.com snothe
chevr@chevron.com ooksoi
cisco@cisco.com rstthe
citad@citadel.com edtoco
conoc@conocophil.com atofab
credi@creditsuis.com etwegr
dcene@dcenergy.com tistil
depar@department.com hatgoo
deuts@deutscheba.com tamili
dropb@dropbox.com aposit
espn@espn.com stofus
exelo@exeloncorp.com ngelse
faceb@facebook.com struth
feder@federalbur.com gdonot
fidel@fidelity.com thecas
getco@getco.com ppense
gener@generaldyn.com hasnow
gener@generalele.com ythera
goldm@goldmansac.com nofama
ibm@ibm.com sifash
intel@intel.com butsom
jumpt@jumptradin.com dissed
mit@mit.com pterof
mckin@mckinseyc.com ingpro
monit@monitorgro.com tiscre
morga@morganstan.com entheb
nerae@neraeconom.com ewhows
north@northropgr.com omestr
novar@novartis.com nunima
occst@occstrate.com yvirtu
optiv@optivertra.com utiona
pegas@pegasystem.com ssitno
proct@procterga.com thinks
rayth@raytheon.com owmeth
samsu@samsung.com linean
shell@shelloil.com erance
strou@stroudcons.com omthei
teach@teachforam.com itisea
upopu@upopunder.com notsoc
usair@usairforce.com alseei
usarm@usarmy.com aturen
usnav@usnavy.com itdoes
unite@unitedtech.com inanyt
vecna@vecna.com tainth
world@worldbank.com tiesha
zynga@zynga.com ofheho
